# Matter power spectrum P(k) at redshift z=0
# for k=1.04798e-05 to 13.8999 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047983747043e-05       5.207625966241e+01 
       2.346584621151e-05       1.129057074894e+02 
       3.649811905084e-05       1.725331658552e+02 
       4.961229565527e-05       2.316607874986e+02 
       6.284461339920e-05       2.906804539398e+02 
       7.623223575444e-05       3.498817206251e+02 
       8.981359132659e-05       4.095095145950e+02 
       1.036287281159e-04       4.697878018519e+02 
       1.177196876145e-04       5.309316132467e+02 
       1.321309033878e-04       5.931542795627e+02 
       1.469096287877e-04       6.566724073926e+02 
       1.621063983792e-04       7.217097322921e+02 
       1.777755274566e-04       7.885003601556e+02 
       1.939756536129e-04       8.572917358744e+02 
       2.107703235930e-04       9.283475019665e+02 
       2.282286274636e-04       1.001950240912e+03 
       2.464258802827e-04       1.078404347888e+03 
       2.654443487100e-04       1.158038799193e+03 
       2.853740160610e-04       1.241210028892e+03 
       3.063133738093e-04       1.328304718266e+03 
       3.283702200727e-04       1.419742473275e+03 
       3.516624357386e-04       1.515978238548e+03 
       3.763186961956e-04       1.617504263136e+03 
       4.024790609047e-04       1.724851363147e+03 
       4.302953643460e-04       1.838589140326e+03 
       4.599313109244e-04       1.959324768119e+03 
       4.915621548512e-04       2.087699792620e+03 
       5.253738268901e-04       2.224384432480e+03 
       5.615613579358e-04       2.370068782980e+03 
       6.003264513986e-04       2.525450289279e+03 
       6.418740805044e-04       2.691217207431e+03 
       6.864080413564e-04       2.868027753114e+03 
       7.341254841215e-04       3.056485388221e+03 
       7.852105731940e-04       3.257110911470e+03 
       8.398275827727e-04       3.470313231005e+03 
       8.981138941243e-04       3.696360799710e+03 
       9.601734900905e-04       3.935356664551e+03 
       1.026071600992e-03       4.187220194721e+03 
       1.095831110998e-03       4.451677877395e+03 
       1.169431173801e-03       4.728264922087e+03 
       1.246808230909e-03       5.016338488831e+03 
       1.327859325000e-03       5.315100542373e+03 
       1.412447320125e-03       5.623600205372e+03 
       1.500407440168e-03       5.940835178921e+03 
       1.591554451200e-03       6.265750432659e+03 
       1.685689843538e-03       6.597254730564e+03 
       1.782608487997e-03       6.934263481899e+03 
       1.882104406311e-03       7.275722134574e+03 
       1.983975467043e-03       7.620624610791e+03 
       2.088026965495e-03       7.968026742720e+03 
       2.194074154057e-03       8.317054257008e+03 
       2.301943855562e-03       8.666907752124e+03 
       2.411475322328e-03       9.016863560109e+03 
       2.522520507197e-03       9.366271526735e+03 
       2.634943899680e-03       9.714552504863e+03 
       2.748622058476e-03       1.006119358931e+04 
       2.863442946843e-03       1.040574363567e+04 
       2.979305153419e-03       1.074780695030e+04 
       3.096117059914e-03       1.108703926772e+04 
       3.213795999560e-03       1.142314156630e+04 
       3.332267436213e-03       1.175585651766e+04 
       3.451464183347e-03       1.208496261930e+04 
       3.571325674291e-03       1.241026773387e+04 
       3.691797289372e-03       1.273161342204e+04 
       3.812829741685e-03       1.304886269286e+04 
       3.934378520620e-03       1.336190468262e+04 
       4.056403390558e-03       1.367064286658e+04 
       4.178867941202e-03       1.397500239127e+04 
       4.301739185498e-03       1.427492350409e+04 
       4.424987200928e-03       1.457035685734e+04 
       4.548584809991e-03       1.486126764324e+04 
       4.672507295903e-03       1.514763103184e+04 
       4.796732149749e-03       1.542942628505e+04 
       4.921238845672e-03       1.570663693159e+04 
       5.046008640949e-03       1.597929594310e+04 
       5.171024398156e-03       1.624738443392e+04 
       5.296270426876e-03       1.645056443565e+04 
       5.421732342708e-03       1.670721180216e+04 
       5.547396941589e-03       1.695930919592e+04 
       5.673252087638e-03       1.720687861441e+04 
       5.799286612991e-03       1.744994840270e+04 
       5.925490228220e-03       1.768853678383e+04 
       6.051853442146e-03       1.792269878147e+04 
       6.178367489963e-03       1.815245009298e+04 
       6.305024268738e-03       1.837782741993e+04 
       6.431816279461e-03       1.859886649397e+04 
       6.558736574906e-03       1.881560819551e+04 
       6.685778712674e-03       1.902809000128e+04 
       6.812936712839e-03       1.923635267318e+04 
       6.940205019699e-03       1.944043926992e+04 
       7.067578467205e-03       1.964038702675e+04 
       7.195052247652e-03       1.983623837200e+04 
       7.322621883311e-03       2.002803884586e+04 
       7.450283200684e-03       2.021582336182e+04 
       7.578032307116e-03       2.039964018480e+04 
       7.705865569515e-03       2.057953093464e+04 
       7.833779594985e-03       2.075554615736e+04 
